element 1,element 2,element 3,element 4,element 5,element 6,element 7,element 8,element 9,element 10,element 11,element 12,property 1,property 2,property 3,property 4,property 5,property 6
0.0066603235014272,,0.0095147478591817,0.0,0.0076117982873453,0.0428163653663178,0.0,0.0,,0.0023786869647954,0.0014272121788772,0.928639391056137,-0.1082559783834249,-0.9806471672703616,,-0.9094233890723132,0.0227896327555403,0.7428700211296413
0.9719350073855244,0.0068931560807483,0.0059084194977843,0.0078778926637124,0.0029542097488921,0.0024618414574101,0.000246184145741,0.001477104874446,0.000246184145741,0.0,,0.0,-0.1002115371561326,,0.8379015135971631,1.3532452010258107,-0.0041682134368696,-1.2073897128960305
0.0069033530571992,0.0009861932938856,0.0019723865877712,,,0.0019723865877712,0.0,0.0,0.0,0.002465483234714,,0.9812623274161736,-0.1082559783834249,-1.1024631694970557,-0.3175579684447949,-0.9226061173226836,,-0.7648307732517433
0.0032377428307123,0.0,,0.0023126734505087,0.0138760407030527,0.5550416281221092,,0.0,0.0,0.3700277520814061,0.0046253469010175,0.0185013876040703,,-0.4629109941553893,,-0.8905765429325507,0.0227698778689353,0.8928900006700776
0.0019792182088075,0.0,,,0.0,0.8906481939633843,,0.0,0.0,0.102919346857991,0.0019792182088075,0.0,-0.0972191065855262,-0.9064618918554704,-0.6093311733419347,-0.931044494101336,0.024088306362245,-1.0423677354015506
0.0040120361083249,0.0,,0.0060180541624874,0.0020060180541624,,0.0,0.0,0.0,0.0,0.0050150451354062,0.0020060180541624,-0.1082559783834249,,-0.4443078356143545,,0.0227948344710421,-0.982359743585376
0.9877518767285656,,0.0069142631370999,0.0,,0.0,0.0004444883445278,0.0009877518767285,0.0004444883445278,,0.0,0.0,-0.1082559783834249,1.2874696600318796,0.8416716977812866,1.404594410515542,0.0329676863026973,0.8928900006700776
0.6283803717179663,,,0.3540171108270233,0.0034418330219293,0.0,0.0001966761726816,0.0014750712951125,0.0001966761726816,0.0,0.0,0.0,0.221941675849666,0.416977798620124,0.7360380450323902,,,-1.2073897128960305
0.6158165652784277,0.1731399157697707,0.0187178287318671,0.1497426298549368,,0.0,0.0002339728591483,0.000140383715489,9.358914365933551e-05,,0.0,,0.1625344147184478,,0.7313210421560061,0.2276288467375191,,2.0180398472233496
0.0004837929366231,0.0,0.0,0.0,0.0,0.6918238993710693,0.0,0.0,0.0,0.3047895500725689,0.0029027576197387,,-0.1082559783834249,-0.6200279004424949,-0.9383271665624104,-0.931054839581736,0.0227898434578999,-0.8923477558611143
0.9583537481626654,0.0,0.0086232239098481,0.0254777070063694,0.0044096031357177,0.0,0.000342969132778,0.0024497795198432,0.000342969132778,0.0,0.0,0.0,-0.0719944242529184,1.2161711172201568,0.8346149335142365,1.3134600860608308,-0.0706419944882951,0.592850041589205
,0.044857083246401,0.0046943459211349,0.0031295639474233,0.0062591278948466,0.0026079699561861,0.0003129563947423,0.0104318798247444,0.0003129563947423,0.0,0.0,0.0,,1.1423266872364055,0.8269453729751515,,0.0183565081961697,-1.2073897128960305
0.969942653747281,0.0098872849515523,0.0098872849515523,0.0,,0.0,0.0002471821237888,0.0058334981214158,0.0002471821237888,0.0,0.0,,-0.1082559783834249,1.244390713189559,0.8374222615144827,1.3497589945683,,-1.2073897128960305
,0.0,,0.0,,0.7117784711388455,0.0,,0.0,0.2837363494539782,0.0039001560062402,0.0,-0.1082559783834249,-0.6392740261500867,-0.8939612534711432,-0.9310545356795096,,-1.2073897128960305
0.0009442870632672,,0.0,0.0,0.0,,0.0,0.0,0.0,0.3493862134088763,,0.0,,-0.5817491823849223,,-0.9310529924570962,,-1.2073897128960305
0.005091649694501,0.0,,0.0,0.0071283095723014,0.0015274949083503,0.0,0.0,0.0,0.0015274949083503,0.0015274949083503,0.979633401221996,-0.1082559783834249,-1.0984814026165108,,-0.910942561487782,0.0227937308814628,-0.982359743585376
0.9875535198645824,0.0,0.008463606492084,0.0,0.0009957184108334,0.0,,0.0018918649805834,0.0002489296027083,0.0,0.0,0.0005974310465,-0.1082559783834249,1.2869984858620658,0.8416247913620896,,0.0328088400156999,0.8928900006700776
0.7742850389978728,,,0.0661782084613566,,,,0.0004727014890096,4.727014890096904e-05,0.0,0.0,0.0,0.0020677333295668,,0.784803034381029,0.6671914226646586,-0.0438262591982753,
0.6631188326736734,0.2865938323030779,0.0049412729707427,,0.0054354002678169,0.0,0.0001976509188297,0.0001482381891222,3.458891079519906e-05,0.0,0.0,,-0.0342169558546482,0.5235551953169155,0.7486053013235191,0.2799263258525622,-0.0183820791882265,0.1427901029678961
,0.1860687022900763,0.0095419847328244,0.0095419847328244,0.0095419847328244,0.0,0.0003816793893129,0.0002862595419847,,,0.0,0.0,,0.8004473054937362,0.7878198034670159,0.7169052871420727,0.011419975258684,
,0.1338368146838105,0.0143396587161225,0.0,0.009559772477415,0.0,0.0003823908990966,0.0033459203670952,,0.0,0.0,0.0,-0.1082559783834249,0.9294020400651636,0.803381348011802,0.9117839752755008,0.0238281798538986,0.067780113197678
0.001031459515214,0.0,0.0,0.0,,0.9871067560598248,0.003610108303249,0.0,0.0,0.003094378545642,0.0051572975760701,0.0,-0.1082559783834249,-1.1166710939609163,-0.7615345197762066,-0.9310525086969688,0.0227996032212549,-1.2073897128960305
0.9554960848448806,0.0109029636237486,0.0099117851124987,0.0,0.0178412132024977,0.0,0.0002477946278124,0.0053523639607493,0.0002477946278124,0.0,0.0,0.0,-0.1082559783834249,1.2104520188600578,0.8339174678722777,1.3418666860296289,0.0257533587387406,-1.2073897128960305
0.00048828125,0.0,,0.0,,0.8789062500000001,0.00341796875,0.0,0.0,0.1123046875,,0.0,-0.1082559783834249,-0.8832969901719891,-0.9361708285383128,-0.9310548273270512,0.0227974282420499,-0.6823197845045034
